Nota Fiscal,Detalhes,Data Venda,Quantidade,Custo da Venda,Valor da Venda,Lucro,Local Vendas,Produto,Marca
,,,,,,,,,
NT000114,,13/02/2022,1,"5707,358239","7393,097855","1685,739616",E-commerce,Galaxy S20 FE,Samsung
NT000115,,18/10/2022,1,"5377,271492","5925,152291","547,8807985",E-commerce,Galaxy S20 FE,Samsung
NT000116,,22/08/2022,1,"4390,243617","5023,112454","632,8688371",E-commerce,Galaxy S20 FE,Samsung
NT000117,,02/01/2022,1,"5255,752162","7041,666343","1785,914181",E-commerce,Galaxy S20 FE,Samsung
NT000118,,01/03/2022,1,"5760,564462","6339,991879","579,4274175",E-commerce,Galaxy S20 FE,Samsung
NT000119,,24/05/2022,1,"6086,320352","7784,60025","1698,279898",E-commerce,Galaxy S20 FE,Samsung
NT000120,,16/07/2022,1,"4768,334438","6626,751219","1858,416781",E-commerce,Galaxy S20 FE,Samsung
NT000121,,07/03/2022,1,"3136,249016","4020,340244","884,0912284",E-commerce,Galaxy S20 FE,Samsung
NT000122,,24/06/2022,1,"3615,773134","4678,774262","1063,001128",E-commerce,Galaxy S20 FE,Samsung
NT000123,,25/10/2022,1,"2299,856378","3066,25984","766,4034617",E-commerce,Galaxy S20 FE,Samsung
NT000124,,15/04/2022,1,"3340,867541","3748,732885","407,8653449",E-commerce,Galaxy S20 FE,Samsung
NT000125,,20/02/2022,1,"3089,603342","3763,76404","674,1606982",E-commerce,Galaxy S20 FE,Samsung
NT000126,,08/10/2022,1,"5464,718161","6080,503915","615,7857547",E-commerce,Galaxy S20 FE,Samsung
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
NT000130,,17/08/2022,1,"4646,220031","5636,559705","990,3396745",E-commerce,Galaxy S20 FE,Samsung
NT000131,,26/08/2022,1,"3530,443499","4212,212986","681,7694865",E-commerce,Galaxy S20 FE,Samsung
NT000132,,23/04/2022,1,"4281,8603","5266,648653","984,7883526",E-commerce,Galaxy S20 FE,Samsung
NT000133,,25/09/2022,1,"5782,417215","7189,859619","1407,442405",E-commerce,Galaxy S20 FE,Samsung
NT000134,,05/05/2022,1,"4731,068166","5425,541799","694,4736327",E-commerce,Galaxy S20 FE,Samsung
NT000135,,28/04/2022,1,"3471,756657","4703,03235","1231,275694",E-commerce,Galaxy S20 FE,Samsung
NT000136,,05/12/2022,1,"2464,109075","3285,933227","821,8241517",E-commerce,Galaxy S20 FE,Samsung
NT000137,,24/08/2022,1,"2737,686979","3039,262839","301,5758598",E-commerce,Galaxy S20 FE,Samsung
NT000138,,06/10/2022,1,"5545,136481","7193,908956","1648,772475",E-commerce,Galaxy S20 FE,Samsung
NT000139,,25/08/2022,1,"2504,740364","3176,493956","671,7535926",E-commerce,Galaxy S20 FE,Samsung
NT000140,,01/11/2022,1,"2848,534765","3932,372562","1083,837798",E-commerce,Galaxy S20 FE,Samsung
NT000141,,29/05/2022,1,"5295,782044","6024,76161","728,979566",E-commerce,Galaxy S20 FE,Samsung
NT000142,,15/10/2022,1,"5990,20504","7249,2082","1259,00316",E-commerce,Galaxy S20 FE,Samsung
NT000143,,12/09/2022,1,"3788,909728","5007,60685","1218,697122",E-commerce,Galaxy S20 FE,Samsung
NT000144,,31/10/2022,1,"4112,724681",0,"392,9441619",E-commerce,Galaxy S20 FE,Samsung
NT000145,,11/02/2022,1,"3491,414206","3890,867092","399,452886",E-commerce,Galaxy S20 FE,Samsung
